Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8467680024566252,0.9016759953306123,0.717163577759871,0.5790500975927131,0.640748740100792,0.549799470914422
Decision Tree,0.8152924919391985,0.7430996041898967,0.6091503267973856,0.6063760572543917,0.6077600260841213,0.48696775838729545
K-Nearest Neighbor,0.8183632734530938,0.8280472357099373,0.6293859649122807,0.5601821730644112,0.5927710843373494,0.47773240979978226
Naive Bayes,0.35528942115768464,0.6415576157880534,0.2646746817538897,0.973975276512687,0.4162380091755874,0.1735501348860851
Random Forest,0.8513741747274681,0.8995434428784516,0.7176740627390972,0.6102797657774887,0.659634317862166,0.5683977433682457
XGBoost,0.8714877936434823,0.9265744277803463,0.7730109204368175,0.6447625243981783,0.7030862007804186,0.626105000156334
